metabolite,refmet_id,super_class,main_class,chebi_id,chebi_all,pubchem_cid,inchi_key,kegg_id,platform_adipose,platform_blood,platform_muscle
Hydroxydecanoic acid,RM0140350,Fatty Acyls,Fatty acids,"","","","",,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Hydroxydodecanoic acid,RM0140376,Fatty Acyls,Fatty acids,"","","","",,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Hydroxyhexadecanoic acid,RM0073971,Fatty Acyls,Fatty acids,"","","","",,metab-u-rpneg,metab-u-lrpneg,metab-u-rpneg
Hydroxyoctanoic acid,RM0140352,Fatty Acyls,Fatty acids,"","","","",,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Hydroxyphenyllactic acid,RM0052813,Organic acids,Phenylpropanoids,CHEBI:16003,CHEBI:16003,440177,JVGVDSSUAVXRDY-MRVPVSSYSA-N,,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Hydroxyproline,RM0028010,Organic acids,Amino acids and peptides,"","","","",C01157,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Hydroxytetradecanoic acid,RM0140664,Fatty Acyls,Fatty acids,"","","","",,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Hypotaurine,RM0136027,Organic acids,Sulfinic acids,CHEBI:16668,CHEBI:16668;CHEBI:57853,107812,VVIUBCNYACGLLV-UHFFFAOYSA-N,C00519,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Hypoxanthine,RM0135895,Nucleic acids,Purines,CHEBI:17368,CHEBI:17368,135398638,FDGQSTZJBFJUBT-UHFFFAOYSA-N,C00262,metab-t-nuc,metab-u-ionpneg,metab-u-ionpneg
Ile-Pro,RM0039061,Organic acids,Amino acids and peptides,CHEBI:74076,CHEBI:74076,444876,BBIXOODYWPFNDT-CIUDSAMLSA-N,,metab-u-rppos,metab-u-rppos,metab-u-rppos
Imidazolepropionic acid,RM0136178,Alkaloids,Histidine alkaloids,CHEBI:73087,CHEBI:73087,70630,ZCKYOWGFRHAZIQ-UHFFFAOYSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
IMP,RM0000534,Nucleic acids,Purines,CHEBI:17202,CHEBI:17202,135398640,GRSZFWQUAKGDAV-KQYNXXCUSA-N,C00130,metab-t-nuc,metab-u-ionpneg,metab-u-ionpneg
Inosine,RM0135908,Nucleic acids,Purines,CHEBI:17596,CHEBI:17596,135398641,UGQMRVRMYYASKQ-KQYNXXCUSA-N,C00294,metab-u-hilicpos,metab-u-hilicpos,metab-u-ionpneg
Isoleucine,RM0134975,Organic acids,Amino acids and peptides,CHEBI:17191,CHEBI:17191;CHEBI:58045,6306,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C00407,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Ketoleucine,RM0135977,Organic acids,Keto acids,CHEBI:48430,CHEBI:48430,70,BKAJNAXTPSGJCU-UHFFFAOYSA-N,C00233,metab-t-ka,metab-u-rpneg,metab-u-rpneg
Lactic acid,RM0135904,Organic acids,Short-chain acids,CHEBI:422,CHEBI:422,107689,JVTAAEKCZFNVCJ-REOHCLBHSA-N,C00186,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
Lauric acid,RM0149943,Fatty Acyls,Fatty acids,CHEBI:30805,CHEBI:30805,3893,POULHZVOKOAJMA-UHFFFAOYSA-N,C02679,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Lenticin,RM0108718,Alkaloids,Tryptophan alkaloids,CHEBI:5832,CHEBI:5832,442106,AOHCBEAZXHZMOR-ZDUSSCGKSA-N,C09213,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
Leu-Pro,RM0052764,Organic acids,Amino acids and peptides,CHEBI:73580,CHEBI:73580;CHEBI:155847,80817,VTJUNIYRYIAIHF-IUCAKERBSA-N,,metab-u-rppos,metab-u-rppos,metab-u-rppos
Leucine,RM0136379,Organic acids,Amino acids and peptides,CHEBI:15603,CHEBI:15603;CHEBI:57427,6106,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C00123,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Leucine/Isoleucine,"","","","","","","",,metab-u-ionpneg,metab-u-rpneg,metab-u-rpneg
Lignoceric acid,RM0153579,Fatty Acyls,Fatty acids,CHEBI:28866,CHEBI:28866,11197,QZZGJDVWLFXDLK-UHFFFAOYSA-N,C08320,metab-u-rpneg,metab-u-rpneg,metab-u-lrpneg
Linoleic acid,RM0149976,Fatty Acyls,Fatty acids,CHEBI:17351,CHEBI:17351,5280450,OYHQOLUKZRVURQ-HZJYTTRNSA-N,,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
Linoleoyl-EA,RM0140131,Fatty Acyls,Fatty amides,CHEBI:64032,CHEBI:64032,5283446,KQXDGUVSAAQARU-HZJYTTRNSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
LPC 14:0,RM0135070,Glycerophospholipids,Glycerophosphocholines,"","","","",C04230,metab-u-rppos,metab-u-rppos,metab-u-rppos
LPC 15:0,RM0017309,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-rppos,metab-u-rppos,metab-u-hilicpos
