metabolite,refmet_id,super_class,main_class,chebi_id,chebi_all,pubchem_cid,inchi_key,kegg_id,platform_adipose,platform_blood,platform_muscle
PC 34:1,RM0010728,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-rppos
PC 34:2,RM0025463,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-lrppos
PC 34:3,RM0134816,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-rppos,metab-u-lrppos,metab-u-rppos
PC 34:4,RM0090131,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-rppos
PC 35:2,RM0134879,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
PC 35:3,RM0134894,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-rppos,metab-u-lrppos,metab-u-rppos
PC 36:2,RM0134818,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
PC 36:3,RM0010754,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-lrpneg,metab-u-rppos
PC 36:4,RM0010761,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-lrppos
PC 36:5,RM0134821,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-hilicpos
PC 38:4,RM0010755,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
PC 38:6,RM0097851,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-rppos,metab-u-lrppos,metab-u-lrppos
PC 40:6,RM0134817,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-rppos,metab-u-lrppos,metab-u-rppos
PC 40:8,RM0171090,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-rppos,metab-u-lrppos,metab-u-rppos
PC O-16:1/18:1,RM0051756,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC O-16:1/18:2,RM0134913,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC O-16:1/20:4,RM0051757,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC O-18:1/18:2,RM0017288,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC O-18:1/20:4,RM0017337,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC O-18:2/20:4,RM0087417,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC O-32:0,RM0090011,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC O-34:1,RM0017335,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC O-34:2,RM0052177,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrppos
PC O-36:4,RM0017345,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrppos
PC O-38:6,RM0134825,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
PC P-32:0 or PC O-32:1,RM0052319,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC P-32:1 or PC O-32:2,RM0097507,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC P-34:0 or PC O-34:1,RM0103506,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC P-34:1 or PC O-34:2,RM0033106,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC P-34:2 or PC O-34:3,RM0052754,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC P-34:3 or PC O-34:4,RM0051497,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC P-35:1 or PC O-35:2,RM0103625,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC P-35:2 or PC O-35:3,RM0103622,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC P-36:3 or PC O-36:4,RM0052322,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC P-36:4 or PC O-36:5,RM0053383,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC P-36:5 or PC O-36:6,RM0053298,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC P-38:4 or PC O-38:5,RM0052755,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC P-38:5 or PC O-38:6,RM0053378,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC P-38:6 or PC O-38:7,RM0033439,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PE 16:0_18:2,RM0011470,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PE 18:0_18:2,RM0001471,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrppos
PE 18:0_20:4,RM0134782,Glycerophospholipids,Glycerophosphoethanolamines,CHEBI:141597,CHEBI:141597,"","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrppos
PE 18:0_22:6,RM0001469,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PE 32:1,RM0134694,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PE 34:1,RM0134794,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrppos
PE 34:2,RM0001239,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-lrppos
PE 36:2,RM0134780,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PE 36:3,RM0044082,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-lrppos
PE 36:4,RM0029374,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-lrppos
PE 38:4,RM0134744,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
