gene_symbol,entrez_gene,uniprot,ensembl_gene,in_string,network_degree
ICAM1,3383,P05362,ENSG00000090339,TRUE,10
ICAM2,3384,P13598,ENSG00000108622,TRUE,4
IGF2R,3482,P11717,ENSG00000197081,TRUE,3
IGFBP3,3486,P17936,ENSG00000146674,TRUE,0
IGFBP4,3487,P22692,ENSG00000141753,TRUE,0
IGFBP6,3489,P24592,ENSG00000167779,TRUE,0
IGFBP7,3490,Q16270,ENSG00000163453,TRUE,0
IKBKG,8517,Q9Y6K9,ENSG00000269335,TRUE,5
IL16,3603,Q14005,ENSG00000172349,TRUE,1
IL18,3606,Q14116,ENSG00000150782,TRUE,1
ILKAP,80895,Q9H0C8,ENSG00000132323,FALSE,0
IMPA1,3612,P29218,ENSG00000133731,TRUE,1
INPP1,3628,P49441,ENSG00000151689,TRUE,1
INPPL1,3636,O15357,ENSG00000165458,TRUE,3
IQGAP2,10788,Q13576,ENSG00000145703,TRUE,0
ITGA5,3678,P08648,ENSG00000161638,TRUE,8
ITGA6,3655,P23229,ENSG00000091409,TRUE,7
ITGAM,3684,P11215,ENSG00000169896,TRUE,14
ITGAV,3685,P06756,ENSG00000138448,TRUE,12
ITGB1,3688,P05556,ENSG00000150093,TRUE,21
ITGB2,3689,P05107,ENSG00000160255,TRUE,11
ITGB5,3693,P18084,ENSG00000082781,TRUE,8
ITIH3,3699,Q06033,ENSG00000162267,FALSE,0
IVD,3712,P26440,ENSG00000128928,TRUE,0
JCHAIN,3512,P01591,ENSG00000132465,TRUE,0
KIFBP,26128,Q96EK5,ENSG00000198954,TRUE,0
KYAT1,883,Q16773,ENSG00000171097;ENSG00000286112,TRUE,4
LACTB2,51110,Q53H82,ENSG00000147592,FALSE,0
LAMP2,3920,P13473,ENSG00000005893,TRUE,1
LAP3,51056,P28838,ENSG00000002549,TRUE,2
LBR,3930,Q14739,ENSG00000143815,TRUE,0
LGALS1,3956,P09382,ENSG00000100097,TRUE,0
LGALS3,3958,P17931,ENSG00000131981,TRUE,2
LGALS8,3964,O00214,ENSG00000116977,TRUE,0
LGMN,5641,Q99538,ENSG00000100600,TRUE,4
LHPP,64077,Q9H008,ENSG00000107902,TRUE,0
LPCAT2,54947,Q7L5N7,ENSG00000087253,TRUE,0
LPL,4023,P06858,ENSG00000175445,TRUE,3
LRIG1,26018,Q96JA1,ENSG00000144749,TRUE,0
LRP1,4035,Q07954,ENSG00000123384,TRUE,5
LRPAP1,4043,P30533,ENSG00000163956,TRUE,1
LSM1,27257,O15116,ENSG00000175324,TRUE,0
LSP1,4046,P33241,ENSG00000130592,TRUE,1
LTA4H,4048,P09960,ENSG00000111144,TRUE,0
LTBP2,4053,Q14767,ENSG00000119681,TRUE,1
LXN,56925,Q9BS40,ENSG00000079257,TRUE,0
MAD1L1,8379,Q9Y6D9,ENSG00000002822,TRUE,1
MAEA,10296,Q7L5Y9,ENSG00000090316,TRUE,0
MAGED1,9500,Q9Y5V3,ENSG00000179222,TRUE,0
MANF,7873,P55145,ENSG00000145050,TRUE,2
MAP2K6,5608,P52564,ENSG00000108984,TRUE,3
MAP4K5,11183,Q9Y4K4,ENSG00000012983,TRUE,0
MAPK9,5601,P45984,ENSG00000050748,TRUE,7
