"candidate_id","candidate_name","mapping_status","identity_resolved","source_object","tissue","assay","platform","evidence_layer","interpretation_scope","feature_id","matched_gene","contrast_type","contrast_category","Timepoint","logFC","CI.L_calculated","CI.R_calculated","p_value","adj_p_value","direction","review_direction","direction_comparison"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204389.10","HSPA1A","exercise_with_controls","EE-CON","post_3.5_4_hr",0.334111869944516,0.163449280797796,0.504774459091237,0.000133133435381372,0.00326097481460386,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204389.10","HSPA1A","Endur_vs_Resist","EE-RE","post_24_hr",-0.0294706575859465,-0.167335510199184,0.108394195027291,0.674787630611333,0.989944183206583,"down","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204389.10","HSPA1A","exercise_with_controls","EE-CON","during_40_min",0.12520074232618,-0.00685124668483572,0.257252731337197,0.0630885400136848,0.268520951244483,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204389.10","HSPA1A","exercise_with_controls","EE-CON","post_10_min",0.189051445692387,0.0571336843940786,0.320969206990696,0.00504332631733982,0.122685604634068,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204389.10","HSPA1A","exercise_with_controls","EE-CON","during_20_min",0.019058315685136,-0.115177745832872,0.153294377203144,0.780480342255914,0.906274841100605,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204389.10","HSPA1A","exercise_with_controls","RE-CON","post_15_30_45_min",0.299163009984628,0.17145685497637,0.426869164992886,5.11572820336448e-06,0.000267923029684157,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204389.10","HSPA1A","Endur_vs_Resist","EE-RE","post_15_30_45_min",-0.0244544801322633,-0.132771771239175,0.0838628109746486,0.657659191920389,0.935179581223182,"down","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204389.10","HSPA1A","Endur_vs_Resist","EE-RE","post_10_min",0.0365578568201794,-0.0733708103908122,0.146486524031171,0.513945432350365,0.999401701053451,"up","up","not_applicable"
"T3_15","IL-7","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000104432.14","IL7","exercise_with_controls","EE-CON","post_15_30_45_min",-0.2927308890264,-1.2283188492875,0.642857071234705,0.539139578639344,0.817793304105171,"down","up","not_applicable"
"T3_15","IL-7","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000104432.14","IL7","exercise_with_controls","EE-CON","post_3.5_4_hr",0.16664105370586,-1.12776654698935,1.46104865440107,0.800517808108046,0.927294118139808,"up","up","not_applicable"
"T3_15","IL-7","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000104432.14","IL7","Endur_vs_Resist","EE-RE","post_3.5_4_hr",0.810242983266004,-0.265827715757444,1.88631368228945,0.139756725317327,0.999699063875898,"up","up","not_applicable"
"T3_15","IL-7","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000104432.14","IL7","Endur_vs_Resist","EE-RE","post_10_min",0.097320182486536,-0.721475279884124,0.916115644857196,0.815515200898775,0.999401701053451,"up","up","not_applicable"
"T3_15","IL-7","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000104432.14","IL7","exercise_with_controls","EE-CON","during_40_min",-0.739599045360725,-1.71365134770496,0.234453256983507,0.136438413706781,0.413695939044861,"down","up","not_applicable"
"T3_15","IL-7","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000104432.14","IL7","exercise_with_controls","RE-CON","post_3.5_4_hr",-0.643601929560144,-1.92328436657543,0.636080507455143,0.323746893371333,0.573029214385428,"down","up","not_applicable"
"T3_15","IL-7","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000104432.14","IL7","exercise_with_controls","EE-CON","post_10_min",-0.500997274992182,-1.44613171245024,0.444137162465871,0.29829127893544,0.71443719853312,"down","up","not_applicable"
"T3_15","IL-7","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000104432.14","IL7","exercise_with_controls","RE-CON","post_15_30_45_min",-0.696011200302584,-1.61603631704611,0.224013916440938,0.137881202090576,0.379642811386458,"down","up","not_applicable"
"T3_15","IL-7","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000104432.14","IL7","Endur_vs_Resist","EE-RE","post_24_hr",0.3898213659037,-0.552818982987931,1.33246171479533,0.417090101755498,0.983684054690177,"up","up","not_applicable"
"T3_15","IL-7","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000104432.14","IL7","exercise_with_controls","RE-CON","post_24_hr",-0.865067113710157,-1.9024741889203,0.17233996149999,0.102031292372852,0.770764661780442,"down","up","not_applicable"
"T3_15","IL-7","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000104432.14","IL7","exercise_with_controls","EE-CON","post_24_hr",-0.475245747806457,-1.5304403481385,0.579948852525583,0.376820389771214,0.999767340976767,"down","up","not_applicable"
"T3_15","IL-7","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000104432.14","IL7","exercise_with_controls","EE-CON","during_20_min",-0.160161225378082,-1.13466906338654,0.81434661263038,0.746987111052207,0.890233525455791,"down","up","not_applicable"
"T3_15","IL-7","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000104432.14","IL7","Endur_vs_Resist","EE-RE","post_15_30_45_min",0.403280311276184,-0.399908296445091,1.20646891899746,0.324500997277281,0.815809903003915,"up","up","not_applicable"
"T3_15","IL-7","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000104432.14","IL7","exercise_with_controls","RE-CON","post_10_min",-0.598317457478718,-1.53207198598556,0.335437071028121,0.20874522699193,0.572821461127856,"down","up","not_applicable"
"T3_16","IL-8","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000169429.11","CXCL8","Endur_vs_Resist","EE-RE","post_24_hr",-0.0118723897592643,-0.306601047985661,0.282856268467133,0.936972286864521,0.997424747578835,"down","up;unchanged","not_applicable"
"T3_16","IL-8","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000169429.11","CXCL8","Endur_vs_Resist","EE-RE","post_3.5_4_hr",0.378201268525971,0.10415982146495,0.652242715586991,0.00691053208134771,0.999699063875898,"up","up;unchanged","not_applicable"
"T3_16","IL-8","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000169429.11","CXCL8","Endur_vs_Resist","EE-RE","post_15_30_45_min",-0.0272046674235371,-0.232037884165995,0.177628549318921,0.79431396582772,0.967773993148915,"down","up;unchanged","not_applicable"
